TAG,CL,CD,NS,NR,SS,SR,SRT,PLT,TAG,Site_name,REGION,,,,,,,
5477,2,2,3,1,3,1,1,12,5477,Buckhorn,WACASH,,,,,,,
5533,1,4,3,0,3,0,2,12,5533,Buckhorn,WACASH,,,,,,,
6801,2,4,2,0,3,0,2.2,12,6801,Buckhorn,WACASH,,,,,,,
6844,2,4,3,0,3,0,2.1,12,6844,Buckhorn,WACASH,,,,,,,
6980,1,4,3,0,3,0,1.9,12,6980,Buckhorn,WACASH,,,,,,,
7003,2,3,3,0,2,0,1.8,12,7003,Buckhorn,WACASH,,,,,,,
7064,3,2,3,1,3,1,1.2,12,7064,Buckhorn,WACASH,,,,,,,
7098,2,3,3,0,2,0,1.8,12,7098,Buckhorn,WACASH,,,,,,,
3222,2,2,3,2,3,1,0.9,13,3222,Buckhorn,CASIERRA,,,,,,,
3276,2,2,3,2,2,1,0.9,13,3276,Buckhorn,CASIERRA,,,,,,,
3304,2,2,2,2,3,2,0.8,13,3304,Buckhorn,CASIERRA,,,,,,,
3356,2,2,2,2,3,1,1,13,3356,Buckhorn,CASIERRA,,,,,,,
3405,2,2,2,1,2,1,1.3,13,3405,Buckhorn,CASIERRA,,,,,,,
3425,2,2,2,2,2,2,0.8,13,3425,Buckhorn,CASIERRA,,,,,,,
3454,2,2,2,2,2,2,1,13,3454,Buckhorn,CASIERRA,,,,,,,
3514,2,2,2,1,2,1,0.9,13,3514,Buckhorn,CASIERRA,,,,,,,
3520,2,2,2,2,3,1,1,13,3520,Buckhorn,CASIERRA,,,,,,,
3573,2,2,3,2,2,2,0.9,13,3573,Buckhorn,CASIERRA,,,,,,,
7907,2,2,2,3,2,3,0.9,13,7907,Buckhorn,CASIERRA,,,,,,,
7948,2,2,1,2,1,1,0.9,13,7948,Buckhorn,CASIERRA,,,,,,,
7987,2,2,2,2,2,1,1,13,7987,Buckhorn,CASIERRA,,,,,,,
8028,2,2,2,2,2,1,0.9,13,8028,Buckhorn,CASIERRA,,,,,,,
8070,,,,,,,,13,8070,Buckhorn,CASIERRA,,,,,,,
8128,,,,,,,,13,8128,Buckhorn,CASIERRA,,,,,,,
8154,2,2,2,1,2,1,1,13,8154,Buckhorn,CASIERRA,,,,,,,
8179,2,2,2,2,2,2,0.8,13,8179,Buckhorn,CASIERRA,,,,,,,
8201,2,2,3,2,2,1,1,13,8201,Buckhorn,CASIERRA,,,,,,,
8250,,,,,,,,13,8250,Buckhorn,CASIERRA,,,,,,,
350,2,4,2,0,3,0,2,14,350,Buckhorn,WACASH,,,,,,,
381,2,2,2,2,2,2,1.1,14,381,Buckhorn,WACASH,,,,,,,
520,1,4,3,0,3,0,1.9,14,520,Buckhorn,WACASH,,,,,,,
558,2,3,2,1,3,0,1.2,14,558,Buckhorn,WACASH,,,,,,,
2035,2,4,2,0,3,1,1.9,14,2035,Buckhorn,WACASH,,,,,,,
2093,1,4,3,0,3,0,2.6,14,2093,Buckhorn,WACASH,,,,,,,
2198,1,3,3,0,3,0,1.7,14,2198,Buckhorn,WACASH,,,,,,,
2270,2,4,3,0,3,0,1.6,14,2270,Buckhorn,WACASH,,,,,,,
2282,1,4,2,0,3,0,1.6,14,2282,Buckhorn,WACASH,,,,,,,
2335,,,,,,,,14,2335,Buckhorn,WACASH,,,,,,,
5320,2,3,3,1,2,1,1.2,14,5320,Buckhorn,WACASH,,,,,,,
5355,2,3,3,0,3,0,1.4,14,5355,Buckhorn,WACASH,,,,,,,
5487,2,3,3,0,3,0,1.2,14,5487,Buckhorn,WACASH,,,,,,,
5520,1,3,3,0,3,0,1.1,14,5520,Buckhorn,WACASH,,,,,,,
6795,1,4,3,1,2,0,2.1,14,6795,Buckhorn,WACASH,,,,,,,
6858,1,4,2,0,3,0,1.7,14,6858,Buckhorn,WACASH,,,,,,,
6954,2,3,3,1,3,1,1.7,14,6954,Buckhorn,WACASH,,,,,,,
7012,1,4,3,1,2,0,2.2,14,7012,Buckhorn,WACASH,,,,,,,
7055,1,4,3,0,3,0,2.1,14,7055,Buckhorn,WACASH,,,,,,,
7092,2,3,3,1,3,0,1.4,14,7092,Buckhorn,WACASH,,,,,,,
3621,2,4,3,0,3,0,1.9,15,3621,Buckhorn,WACST,,,,,,,
3666,2,4,3,0,3,0,2.7,15,3666,Buckhorn,WACST,,,,,,,
3701,1,4,3,0,3,0,2.1,15,3701,Buckhorn,WACST,,,,,,,
3761,1,4,3,0,3,0,2.6,15,3761,Buckhorn,WACST,,,,,,,
4135,1,3,3,0,3,0,1.7,15,4135,Buckhorn,WACST,,,,,,,
4170,1,4,3,0,3,0,2.2,15,4170,Buckhorn,WACST,,,,,,,
4228,1,4,3,0,3,0,2.5,15,4228,Buckhorn,WACST,,,,,,,
4250,1,4,3,0,3,0,2.2,15,4250,Buckhorn,WACST,,,,,,,
4633,1,4,3,0,3,0,2.6,15,4633,Buckhorn,WACST,,,,,,,
4678,1,4,3,0,2,0,2.9,15,4678,Buckhorn,WACST,,,,,,,
8288,1,3,3,0,3,0,1.5,15,8288,Buckhorn,WACST,,,,,,,
8308,1,4,3,0,3,0,2.3,15,8308,Buckhorn,WACST,,,,,,,
8357,1,4,3,0,3,0,2.6,15,8357,Buckhorn,WACST,,,,,,,
8414,1,3,3,0,3,0,1.7,15,8414,Buckhorn,WACST,,,,,,,
8738,1,3,3,0,2,0,1,15,8738,Buckhorn,WACST,,,,,,,
8771,1,4,3,0,3,0,2.3,15,8771,Buckhorn,WACST,,,,,,,
8810,1,4,3,0,3,0,1.9,15,8810,Buckhorn,WACST,,,,,,,
8859,1,4,3,0,3,0,2.3,15,8859,Buckhorn,WACST,,,,,,,
9180,1,4,3,1,3,0,2.3,15,9180,Buckhorn,WACST,,,,,,,
9215,1,4,2,0,3,0,2.1,15,9215,Buckhorn,WACST,,,,,,,
606,2,3,3,1,3,0,1.4,16,606,Buckhorn,ORSISH,,,,,,,
661,2,3,3,1,3,1,1.8,16,661,Buckhorn,ORSISH,,,,,,,
671,1,4,3,0,3,0,2.2,16,671,Buckhorn,ORSISH,,,,,,,
710,2,4,2,0,3,0,1.9,16,710,Buckhorn,ORSISH,,,,,,,
1567,2,3,2,1,2,1,1.1,16,1567,Buckhorn,ORSISH,,,,,,,
1613,2,2,2,2,3,2,0.9,16,1613,Buckhorn,ORSISH,,,,,,,
1855,2,3,2,2,2,1,1,16,1855,Buckhorn,ORSISH,,,,,,,
2393,2,3,3,1,3,1,1.4,16,2393,Buckhorn,ORSISH,,,,,,,
2435,2,4,3,2,2,2,1.5,16,2435,Buckhorn,ORSISH,,,,,,,
5558,2,3,3,1,2,1,1.8,16,5558,Buckhorn,ORSISH,,,,,,,
5587,2,3,3,0,3,0,1.3,16,5587,Buckhorn,ORSISH,,,,,,,
5591,2,3,2,2,3,1,1.5,16,5591,Buckhorn,ORSISH,,,,,,,
5636,1,3,3,0,2,0,1.5,16,5636,Buckhorn,ORSISH,,,,,,,
5684,2,4,3,0,3,1,1.8,16,5684,Buckhorn,ORSISH,,,,,,,
6367,1,3,2,1,2,0,1.3,16,6367,Buckhorn,ORSISH,,,,,,,
6424,1,4,3,1,3,0,2,16,6424,Buckhorn,ORSISH,,,,,,,
6619,2,4,2,1,3,1,1.5,16,6619,Buckhorn,ORSISH,,,,,,,
7108,2,2,2,2,1,1,0.9,16,7108,Buckhorn,ORSISH,,,,,,,
7171,2,3,3,1,3,1,1.1,16,7171,Buckhorn,ORSISH,,,,,,,
11637,1,3,3,0,3,0,1.7,16,11637,Buckhorn,ORSISH,,,,,,,
263,1,4,2,1,2,0,2,17,263,Buckhorn,WACASL,,,,,,,
296,1,4,3,1,3,0,1.9,17,296,Buckhorn,WACASL,,,,,,,
